Solvent,Enzyme,Temperature,aN,bN,aD,bD,m,D50
EtOH,TsOYE,70,0.8374074337348726,5.477091117236037e-06,0.08406769864581609,0.0027112863481759224,1781.5734649065462,16.02311593992576
EtOH,TsOYE,80,0.8643564034439838,0.0020096784362215524,0.09947793549054519,0.0,2912.4690578598324,10.560239381220674
EtOH,XenA,25,0.9328702117780229,0.0,0.04378880301832348,0.0,10834.378415739462,30.159711065465522
EtOH,XenA,30,0.9346739734000776,0.0,0.0540243035588919,0.0,1473.2644166419898,27.3945644620032
EtOH,XenA,35,0.9375878058512953,0.0,0.06189632562062994,0.0,1441.9828202784706,26.05587280023189
EtOH,XenA,40,0.9411844794019762,0.0,0.0771763853989596,0.0,1133.6370560927319,24.662606758011492
EtOH,XenA,45,0.9429491301838093,0.0,0.09458609118167322,0.0,1056.4275246125358,23.24258703268905
EtOH,XenA,50,0.949323929124804,0.0,0.10577161786203525,0.0,1049.4736051930397,22.809567604489327
EtOH,XenA,60,0.9646722330242699,0.0,0.12324128445130474,0.0,981.8279072178161,22.277542066997466
EtOH,XenA,70,0.9822761657463789,0.0,0.1389602625449596,0.0,826.4761679285938,20.32233558411731
EtOH,XenA,80,1.0120078558487888,0.0,0.14515838825983915,0.0,732.0260081393592,17.209107779897053
EtOH,XenB,25,0.814719956249628,0.0,0.0,5.588719034797912e-05,1495.4972651791222,19.01501010448324
EtOH,XenB,30,0.8138890412952927,0.0,0.0,0.0012663315242319342,1318.5701075978272,29.638528419166125
EtOH,XenB,35,0.8058819222329436,0.0017008225175407623,0.0,0.0,1492.7088615090654,18.775125744975174
EtOH,XenB,40,0.8455565618481073,0.0008207036428110401,0.0,0.0,1494.6559298628704,18.89222432017173
EtOH,XenB,45,0.8652673561266545,0.0007120960573886616,0.0,0.0,1495.0416187268263,18.86412307598779
EtOH,XenB,50,0.8755995639926861,0.0005563247078200888,0.0,0.0,1494.705673708695,18.82573308651795
EtOH,XenB,60,0.8955209202033694,0.0005125421778783055,0.0,0.0,1495.214166299022,18.725150435508883
EtOH,XenB,70,0.9169551267046769,0.0004375025634108825,0.0,0.0,1495.751626394351,18.704883987249897
EtOH,XenB,80,0.9396419616240155,0.00026650174367090273,0.0,0.0,1495.1906439813224,18.665532239158807
EtOH,YqiG,25,0.7261495226649739,0.0,0.12129469421200517,0.001316190762905104,3099.5355552895144,29.54626300938573
EtOH,YqiG,30,0.7331343914905899,0.0,0.18126904155751905,0.0,1484.020634375637,29.0605935995151
